148 4.2555356165 0.3957341256
149 4.2661725504 0.3954862193
150 4.2767914900 0.3952616301
151 4.2873928202 0.3950606485
152 4.2979769311 0.3948835339
153 4.3085442172 0.3947305145
154 4.3190950768 0.3946017878
155 4.3296299112 0.3944975205
156 4.3401491238 0.3944178491
157 4.3506531196 0.3943628799
158 4.3611423048 0.3943326904
159 4.3716170855 0.3943273291
160 4.3820778674 0.3943468169
161 4.3925250553 0.3943911471
162 4.4029590522 0.3944602871
163 4.4133802590 0.3945541787
164 4.4237890739 0.3946727394
165 4.4341858916 0.3948158631
166 4.4445711033 0.3949834214
167 4.4549450959 0.3951752645
168 4.4653082516 0.3953912226
169 4.4756609477 0.3956311066
170 4.4860035560 0.3958947094
171 4.4963364426 0.3961818075
172 4.5066599675 0.3964921615
173 4.5169744843 0.3968255176
174 4.5272803400 0.3971816087
